uri,total_count,sources
https://soilwise-he.github.io/soil-health#ClayMinerals,3,"gpt-4.1, gpt-4o, thesauri"
https://soilwise-he.github.io/soil-health#BiologicalIndicators,3,"gpt-4.1, keywords, thesauri"
https://soilwise-he.github.io/soil-health#MatricPotential,3,"gpt-4.1, gpt-4o, keywords"
https://soilwise-he.github.io/soil-health#CarbonStocks,3,"gpt-4.1, gpt-4o, keywords"
https://soilwise-he.github.io/soil-health#Sodification,3,"gpt-4.1, gpt-4o, keywords"
https://soilwise-he.github.io/soil-health#SoilVariability,3,"gpt-4.1, keywords, thesauri"
https://soilwise-he.github.io/soil-health#Boron,3,"gpt-4.1, keywords, thesauri"
https://soilwise-he.github.io/soil-health#SoilFunctionIndicators,3,"gpt-4.1, gpt-4o, keywords"
https://soilwise-he.github.io/soil-health#LandProductivity,3,"gpt-4.1, keywords, thesauri"
https://soilwise-he.github.io/soil-health#SewageSludge,3,"gpt-4.1, keywords, thesauri"
https://soilwise-he.github.io/soil-health#Calcium,3,"gpt-4.1, keywords, thesauri"
https://soilwise-he.github.io/soil-health#Gleysols,3,"gpt-4.1, gpt-4o, thesauri"
https://soilwise-he.github.io/soil-health#WindErosionRate,3,"gpt-4.1, gpt-4o, keywords"
https://soilwise-he.github.io/soil-health#CarbonCycle,3,"gpt-4.1, keywords, thesauri"
https://soilwise-he.github.io/soil-health#NitrateNitrogenLeaching,3,"gpt-4.1, gpt-4o, keywords"
https://soilwise-he.github.io/soil-health#CarbonSequestration,3,"gpt-4.1, keywords, thesauri"
https://soilwise-he.github.io/soil-health#BiologicalProductivity,3,"gpt-4.1, gpt-4o, keywords"
https://soilwise-he.github.io/soil-health#OrganochlorinePesticides,3,"gpt-4.1, gpt-4o, thesauri"
https://soilwise-he.github.io/soil-health#CationExchange,3,"gpt-4.1, keywords, thesauri"
https://soilwise-he.github.io/soil-health#SoilCarbonStocks,3,"gpt-4.1, gpt-4o, keywords"
https://soilwise-he.github.io/soil-health#ChemicalStability,3,"gpt-4.1, keywords, thesauri"
https://soilwise-he.github.io/soil-health#Chernozems,3,"gpt-4.1, gpt-4o, thesauri"
https://soilwise-he.github.io/soil-health#MineralWeathering,3,"gpt-4.1, gpt-4o, keywords"
https://soilwise-he.github.io/soil-health#Chromium,3,"gpt-4.1, keywords, thesauri"
https://soilwise-he.github.io/soil-health#Ciliates,3,"gpt-4.1, keywords, thesauri"
https://soilwise-he.github.io/soil-health#SoilMinerals,3,"gpt-4.1, gpt-4o, keywords"
https://soilwise-he.github.io/soil-health#SoilPhysicalDegradation,3,"gpt-4.1, gpt-4o, keywords"
https://soilwise-he.github.io/soil-health#SoilMicrobialRespiration,3,"gpt-4.1, gpt-4o, keywords"
https://soilwise-he.github.io/soil-health#PlatyStructure,3,"gpt-4.1, gpt-4o, keywords"
https://soilwise-he.github.io/soil-health#Litterfall,3,"gpt-4.1, gpt-4o, keywords"
https://soilwise-he.github.io/soil-health#Dieldrin,3,"gpt-4.1, gpt-4o, thesauri"
https://soilwise-he.github.io/soil-health#SurfaceRunoff,3,"gpt-4.1, gpt-4o, keywords"
https://soilwise-he.github.io/soil-health#MicrobialCommunityStructure,3,"gpt-4.1, gpt-4o, keywords"
https://soilwise-he.github.io/soil-health#Cobalt,3,"gpt-4.1, keywords, thesauri"
https://soilwise-he.github.io/soil-health#MicrobialImmobilisation,3,"gpt-4.1, gpt-4o, keywords"
https://soilwise-he.github.io/soil-health#Microfauna,3,"gpt-4.1, gpt-4o, thesauri"
https://soilwise-he.github.io/soil-health#SoilParticles,3,"gpt-4.1, gpt-4o, keywords"
https://soilwise-he.github.io/soil-health#Necromass,3,"gpt-4.1, gpt-4o, keywords"
https://soilwise-he.github.io/soil-health#Contaminants,3,"gpt-4.1, keywords, thesauri"
https://soilwise-he.github.io/soil-health#SoilChemicalProperties,3,"gpt-4.1, gpt-4o, keywords"
https://soilwise-he.github.io/soil-health#BaseCations,3,"gpt-4.1, gpt-4o, keywords"
https://soilwise-he.github.io/soil-health#SoilBiologicalProperties,3,"gpt-4.1, gpt-4o, keywords"
https://soilwise-he.github.io/soil-health#SoilContaminants,3,"gpt-4.1, gpt-4o, keywords"
https://soilwise-he.github.io/soil-health#NutrientRelease,3,"gpt-4.1, gpt-4o, keywords"
https://soilwise-he.github.io/soil-health#WaterholdingCapacity,3,"gpt-4.1, gpt-4o, keywords"
