prefLabel,altLabels,displayName,uri,confidence
boron,B (symbol),boron (B (symbol)),http://aims.fao.org/aos/agrovoc/c_1018,N/A
chromium,Cr (symbol),chromium (Cr (symbol)),http://aims.fao.org/aos/agrovoc/c_1595,N/A
cobalt,Co (symbol),cobalt (Co (symbol)),http://aims.fao.org/aos/agrovoc/c_1702,N/A
copper,Cu (symbol),copper (Cu (symbol)),http://aims.fao.org/aos/agrovoc/c_1868,N/A
iron,Fe (symbol),iron (Fe (symbol)),http://aims.fao.org/aos/agrovoc/c_3950,N/A
magnesium,Mg (symbol),magnesium (Mg (symbol)),http://aims.fao.org/aos/agrovoc/c_4517,N/A
manganese,Mn (symbol),manganese (Mn (symbol)),http://aims.fao.org/aos/agrovoc/c_4570,N/A
micronutrient deficiencies,,micronutrient deficiencies,http://aims.fao.org/aos/agrovoc/c_92b51561,N/A
molybdenum,Mo (symbol),molybdenum (Mo (symbol)),http://aims.fao.org/aos/agrovoc/c_4901,N/A
selenium,Se (symbol),selenium (Se (symbol)),http://aims.fao.org/aos/agrovoc/c_6953,N/A
trace element deficiencies,,trace element deficiencies,http://aims.fao.org/aos/agrovoc/c_7833,N/A
trace metals,,trace metals,http://aims.fao.org/aos/agrovoc/c_909f18e4,N/A
vanadium,V (symbol),vanadium (V (symbol)),http://aims.fao.org/aos/agrovoc/c_8154,N/A
zinc,Zn (symbol),zinc (Zn (symbol)),http://aims.fao.org/aos/agrovoc/c_8517,N/A
Modified Universal Soil Loss Equation,MUSLE (Modified Universal Soil Loss Equation),Modified Universal Soil Loss Equation (MUSLE (Modified Universal Soil Loss Equation)),http://aims.fao.org/aos/agrovoc/c_55f2905b,N/A
Revised Universal Soil Loss Equation,RUSLE (Revised Universal Soil Loss Equation),Revised Universal Soil Loss Equation (RUSLE (Revised Universal Soil Loss Equation)),http://aims.fao.org/aos/agrovoc/c_9021e8ed,N/A
bioturbation,,bioturbation,http://aims.fao.org/aos/agrovoc/c_a3354940,N/A
streambank erosion,bank erosion; river bank erosion,"streambank erosion (bank erosion, river bank erosion)",http://aims.fao.org/aos/agrovoc/c_2bd4427d,N/A
soil-borne fungi,,soil-borne fungi,http://aims.fao.org/aos/agrovoc/c_34904,N/A
soil-borne viruses,,soil-borne viruses,http://aims.fao.org/aos/agrovoc/c_36398,N/A
Tuber dryophilum,,Tuber dryophilum,http://aims.fao.org/aos/agrovoc/c_48e12069,N/A
Tuber excavatum,,Tuber excavatum,http://aims.fao.org/aos/agrovoc/c_6bb75b8d,N/A
Tuber magnatum,white truffle,Tuber magnatum (white truffle),http://aims.fao.org/aos/agrovoc/c_8b6f63e2,N/A
Tuber melanosporum,black truffle,Tuber melanosporum (black truffle),http://aims.fao.org/aos/agrovoc/c_35521,N/A
Tuber mesentericum,,Tuber mesentericum,http://aims.fao.org/aos/agrovoc/c_ad256fca,N/A
Tuber nitidum,,Tuber nitidum,http://aims.fao.org/aos/agrovoc/c_3c2e46b8,N/A
Tuber oligospermum,,Tuber oligospermum,http://aims.fao.org/aos/agrovoc/c_8a510535,N/A
Tuber oregonense,,Tuber oregonense,http://aims.fao.org/aos/agrovoc/c_7bd0688a,N/A
Tuber pseudoexcavatum,,Tuber pseudoexcavatum,http://aims.fao.org/aos/agrovoc/c_5955563f,N/A
Tuber rufum,,Tuber rufum,http://aims.fao.org/aos/agrovoc/c_ddfc6d50,N/A
Tuberaceae,,Tuberaceae,http://aims.fao.org/aos/agrovoc/c_3cae863f,N/A
symbiosis,,symbiosis,http://aims.fao.org/aos/agrovoc/c_7563,N/A
saprophytes,saprotroph; saprobe,"saprophytes (saprotroph, saprobe)",http://aims.fao.org/aos/agrovoc/c_14083,N/A
ammonification,,ammonification,http://aims.fao.org/aos/agrovoc/c_37196,N/A
ammonium compounds,,ammonium compounds,http://aims.fao.org/aos/agrovoc/c_351,N/A
neem extracts,nim (extracts),neem extracts (nim (extracts)),http://aims.fao.org/aos/agrovoc/c_34060,N/A
nitrapyrin,,nitrapyrin,http://aims.fao.org/aos/agrovoc/c_31440,N/A
immobilization,,immobilization,http://aims.fao.org/aos/agrovoc/c_27550,N/A
Retisols,,Retisols,http://aims.fao.org/aos/agrovoc/c_ff831af0,N/A
Stagnosols,,Stagnosols,http://aims.fao.org/aos/agrovoc/c_d9028da2,N/A
Technosols,,Technosols,http://aims.fao.org/aos/agrovoc/c_3a0750ba,N/A
Umbrisols,,Umbrisols,http://aims.fao.org/aos/agrovoc/c_9e95a849,N/A
