prefLabel,altLabels,displayName,uri,baseline_origin
soil sequences,,soil sequences,http://aims.fao.org/aos/agrovoc/c_7191,DIRECT_LABEL_MATCH
soil sickness,,soil sickness,http://aims.fao.org/aos/agrovoc/c_26856,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil skeleton,,soil skeleton,http://aims.fao.org/aos/agrovoc/c_3fba1536,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil solarization,,soil solarization,http://aims.fao.org/aos/agrovoc/c_33263,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil solution,,soil solution,http://aims.fao.org/aos/agrovoc/c_7192,DIRECT_LABEL_MATCH
soil sorption,,soil sorption,http://aims.fao.org/aos/agrovoc/c_15868,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil stabilization,soil fixation,soil stabilization (soil fixation),http://aims.fao.org/aos/agrovoc/c_7171,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil sterilization,chemical sterilizing of soil,soil sterilization (chemical sterilizing of soil),http://aims.fao.org/aos/agrovoc/c_7194,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil strength,,soil strength,http://aims.fao.org/aos/agrovoc/c_25399,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil structural units,soil aggregates; soil microaggregates,"soil structural units (soil aggregates, soil microaggregates)",http://aims.fao.org/aos/agrovoc/c_7195,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil structure,tilth (soil),soil structure (tilth (soil)),http://aims.fao.org/aos/agrovoc/c_7196,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil suitability,,soil suitability,http://aims.fao.org/aos/agrovoc/c_481147ef,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil surface properties,,soil surface properties,http://aims.fao.org/aos/agrovoc/c_14702,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil survey guidelines,soil mapping guidelines,soil survey guidelines (soil mapping guidelines),http://aims.fao.org/aos/agrovoc/c_7cedf142,DIRECT_LABEL_MATCH
soil surveys,soil mapping,soil surveys (soil mapping),http://aims.fao.org/aos/agrovoc/c_16551,DIRECT_LABEL_MATCH
soil temperature,,soil temperature,http://aims.fao.org/aos/agrovoc/c_7197,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil texture,soil cohesion,soil texture (soil cohesion),http://aims.fao.org/aos/agrovoc/c_7199,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil thermal regimes,freeze thaw cycles (soil),soil thermal regimes (freeze thaw cycles (soil)),http://aims.fao.org/aos/agrovoc/c_7200,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil toxicity,toxic soils,soil toxicity (toxic soils),http://aims.fao.org/aos/agrovoc/c_7201,DIRECT_LABEL_MATCH
soil trafficability,,soil trafficability,http://aims.fao.org/aos/agrovoc/c_093ee711,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
