identifier,label,uri,class
https://soilwise-he.github.io/soil-health#CationExchange,cation exchange,http://opendata.inrae.fr/thesaurusINRAE/c_3a30d01b,
https://soilwise-he.github.io/soil-health#Roots,roots,http://aims.fao.org/aos/agrovoc/c_6651,
https://soilwise-he.github.io/soil-health#Metalloids,metalloids,http://aims.fao.org/aos/agrovoc/c_6969,
https://soilwise-he.github.io/soil-health#NutrientLimitations,nutrient limitations,,
https://soilwise-he.github.io/soil-health#Phosphates,phosphates,http://aims.fao.org/aos/agrovoc/c_35986,
https://soilwise-he.github.io/soil-health#ForestNutritionalQuality,forest nutritional quality,,
https://soilwise-he.github.io/soil-health#Permeability,permeability,http://aims.fao.org/aos/agrovoc/c_5718,
https://soilwise-he.github.io/soil-health#NPRatios,N/P ratios,,
https://soilwise-he.github.io/soil-health#AtmosphericDeposition,atmospheric deposition,http://aims.fao.org/aos/agrovoc/c_36094,
https://soilwise-he.github.io/soil-health#Lakes,lakes,http://aims.fao.org/aos/agrovoc/c_4160,
https://soilwise-he.github.io/soil-health#Continent,continent,http://www.eionet.europa.eu/gemet/concept/10148,
https://soilwise-he.github.io/soil-health#SoilFoodWebs,soil food webs,,
https://soilwise-he.github.io/soil-health#Anoxic,anoxic,,
https://soilwise-he.github.io/soil-health#SoilLayers,soil layers,,
https://soilwise-he.github.io/soil-health#Policy,policy,http://opendata.inrae.fr/thesaurusINRAE/c_20186,
https://soilwise-he.github.io/soil-health#Arsenic,arsenic,http://aims.fao.org/aos/agrovoc/c_629,
https://soilwise-he.github.io/soil-health#Podsols,podsols,,
